# Calibration values for shim coils
# Derek Fujimoto
# Feb 2025
#
# coil:    label of coils in the range [0, 63]
# cs:      chip select, one of (7, 8, 9, 10)
# ch:      channel on chip, in the range [0, 15]
# slope:   convert requested current to voltage in volts/amp
# offset:  voltage offset when converting requested current to volts, in volts
#
# The arduino expects us to set a voltage. Thus when a current is requested we
# do the following to calculate the voltage sent:
#
# voltage = current * slope + offset
#
# default slope is 1/(40mA/10V) = 250 V/A
#
coil,cs,ch,slope,offset
0,7,0,250,0
1,0,0,250,0
2,0,0,250,0
3,0,0,250,0
4,0,0,250,0
5,0,0,250,0
6,0,0,250,0
7,0,0,250,0
8,0,0,250,0
9,0,0,250,0
10,0,0,250,0
11,0,0,250,0
12,0,0,250,0
13,0,0,250,0
14,0,0,250,0
15,0,0,250,0
16,0,0,250,0
17,0,0,250,0
18,0,0,250,0
19,0,0,250,0
20,0,0,250,0
21,0,0,250,0
22,0,0,250,0
23,0,0,250,0
24,0,0,250,0
25,0,0,250,0
26,0,0,250,0
27,0,0,250,0
28,0,0,250,0
29,0,0,250,0
30,0,0,250,0
31,0,0,250,0
32,0,0,250,0
33,0,0,250,0
34,0,0,250,0
35,0,0,250,0
36,0,0,250,0
37,0,0,250,0
38,0,0,250,0
39,0,0,250,0
40,0,0,250,0
41,0,0,250,0
42,0,0,250,0
43,0,0,250,0
44,0,0,250,0
45,0,0,250,0
46,0,0,250,0
47,0,0,250,0
48,0,0,250,0
49,0,0,250,0
50,0,0,250,0
51,0,0,250,0
52,0,0,250,0
53,0,0,250,0
54,0,0,250,0
55,0,0,250,0
56,0,0,250,0
57,0,0,250,0
58,0,0,250,0
59,0,0,250,0
60,0,0,250,0
61,0,0,250,0
62,0,0,250,0
63,0,0,250,0
