# Calibration values for shim coils
# Derek Fujimoto
# Feb 2025
#
# coil:    label of coils in the range [0, 63]
# cs:      chip select, one of (7,8,9,10)
# ch:      channel on chip, in the range [0, 15]
# slope_i: convert requested current to voltage in volts/amp
# offset_i:voltage offset when converting requested current to volts, in volts
# slope_b: convert requested field to voltage in volts/nT
# offset_b:voltage offset when converting requested field to volts, in volts
#
# The arduino expects us to set a voltage. Thus when a current is requested we
# do the following to calculate the voltage sent:
#
# voltage = current * slope + offset
#
# default slope is 1/(40mA/10V) = 250 V/A
#
coil,cs,ch,slope_i,offset_i,slope_b,offset_b
0,10,8,250.0,0,0.011839,0
1,10,5,250.0,0,0.014567,0
2,10,4,-250.0,0,-0.012146,0
3,10,11,250.0,0,0.015912,0
4,10,1,-250.0,0,-0.019291,0
5,10,2,250.0,0,0.015796,0
6,7,3,250.0,0,0.012891,0
7,10,15,250.0,0,0.015512,0
8,10,10,250.0,0,0.013119,0
9,10,7,-250.0,0,-0.009294,0
10,10,6,250.0,0,0.010897,0
11,10,9,-250.0,0,-0.007361,0
12,10,3,250.0,0,0.014023,0
13,10,0,-250.0,0,-0.022088,0
14,10,12,-250.0,0,-0.014411,0
15,10,13,250.0,0,0.012220,0
16,9,8,-250.0,0,-0.014811,0
17,9,5,-250.0,0,-0.012239,0
18,9,4,-250.0,0,-0.015871,0
19,9,11,-250.0,0,-0.015208,0
20,9,1,-250.0,0,-0.015857,0
21,9,2,-250.0,0,-0.014262,0
22,9,14,-250.0,0,-0.017332,0
23,9,15,-250.0,0,-0.014421,0
24,9,10,250.0,0,0.015737,0
25,9,7,-250.0,0,-0.015187,0
26,9,6,250.0,0,0.015765,0
27,9,9,-250.0,0,-0.015019,0
28,9,3,-250.0,0,-0.014593,0
29,9,0,-250.0,0,-0.015281,0
30,9,12,-250.0,0,-0.013575,0
31,9,13,250.0,0,0.022120,0
32,8,8,-250.0,0,-0.013808,0
33,8,4,-250.0,0,-0.014980,0
34,8,5,-250.0,0,-0.014484,0
35,7,0,-250.0,0,-0.014864,0
36,8,1,-250.0,0,-0.012682,0
37,8,2,-250.0,0,-0.014945,0
38,8,14,-250.0,0,-0.012576,0
39,8,15,250.0,0,0.015044,0
40,8,10,-250.0,0,-0.022221,0
41,8,7,-250.0,0,-0.014952,0
42,8,6,250.0,0,0.012595,0
43,8,9,-250.0,0,-0.014762,0
44,8,3,250.0,0,0.012483,0
45,8,0,250.0,0,0.011393,0
46,8,12,-250.0,0,-0.014591,0
47,8,13,250.0,0,0.012246,0
48,7,8,-250.0,0,-0.014569,0
49,7,5,-250.0,0,-0.016612,0
50,7,4,250.0,0,0.015279,0
51,7,11,-250.0,0,-0.011760,0
52,7,1,250.0,0,0.014351,0
53,7,2,-250.0,0,-0.012228,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
