# Last set currents and voltages values for shim coils
# Derek Fujimoto
# Feb 2025
#
# coil:    label of coils in the range [0, 63]
# voltage: in volts, possibly calculated from slope and offset in calibration file
# current: expected current in amps (note that the actual set quantity is the voltage)
# field:   expected field in nT (note that the actual set quantity is the voltage)
# setby:   which column we used to set the output voltage
#
# The arduino expects us to set a voltage. Thus when a current is requested we
# do the following to calculate the voltage sent:
#
# voltage = current * slope + offset
#
# default slope is 1/(40mA/10V) = 250 V/A
#
# if we set a voltage, we then calculate the expected current and save that
#
# 2025-02-07 13:13:15.176690
coil,voltage,current,field,setby
0,0,0.0,0.0,'voltage'
1,0,0.0,0.0,'voltage'
2,0,0.0,0.0,'voltage'
3,0,0.0,0.0,'voltage'
4,0,0.0,0.0,'voltage'
5,0,0.0,0.0,'voltage'
6,0,0.0,0.0,'voltage'
7,0,0.0,0.0,'voltage'
8,0,0.0,0.0,'voltage'
9,0,0.0,0.0,'voltage'
10,0,0.0,0.0,'voltage'
11,0,0.0,0.0,'voltage'
12,0,0.0,0.0,'voltage'
13,0,0.0,0.0,'voltage'
14,0,0.0,0.0,'voltage'
15,0,0.0,0.0,'voltage'
16,0,0.0,0.0,'voltage'
17,0,0.0,0.0,'voltage'
18,0,0.0,0.0,'voltage'
19,0,0.0,0.0,'voltage'
20,0,0.0,0.0,'voltage'
21,0,0.0,0.0,'voltage'
22,0,0.0,0.0,'voltage'
23,0,0.0,0.0,'voltage'
24,0,0.0,0.0,'voltage'
25,0,0.0,0.0,'voltage'
26,0,0.0,0.0,'voltage'
27,0,0.0,0.0,'voltage'
28,0,0.0,0.0,'voltage'
29,0,0.0,0.0,'voltage'
30,0,0.0,0.0,'voltage'
31,0,0.0,0.0,'voltage'
32,0,0.0,0.0,'voltage'
33,0,0.0,0.0,'voltage'
34,0,0.0,0.0,'voltage'
35,0,0.0,0.0,'voltage'
36,0,0.0,0.0,'voltage'
37,0,0.0,0.0,'voltage'
38,0,0.0,0.0,'voltage'
39,0,0.0,0.0,'voltage'
40,0,0.0,0.0,'voltage'
41,0,0.0,0.0,'voltage'
42,0,0.0,0.0,'voltage'
43,0,0.0,0.0,'voltage'
44,0,0.0,0.0,'voltage'
45,0,0.0,0.0,'voltage'
46,0,0.0,0.0,'voltage'
47,0,0.0,0.0,'voltage'
48,0,0.0,0.0,'voltage'
49,0,0.0,0.0,'voltage'
50,0,0.0,0.0,'voltage'
51,0,0.0,0.0,'voltage'
52,0,0.0,0.0,'voltage'
53,0,0.0,0.0,'voltage'
54,0,0.0,0.0,'voltage'
55,0,0.0,0.0,'voltage'
56,0,0.0,0.0,'voltage'
57,0,0.0,0.0,'voltage'
58,0,0.0,0.0,'voltage'
59,0,0.0,0.0,'voltage'
60,0,0.0,0.0,'voltage'
61,0,0.0,0.0,'voltage'
62,0,0.0,0.0,'voltage'
63,0,0.0,0.0,'voltage'
